,open,high,low,close,volume
2020-01-01,99.04747249902368,101.55805522916552,98.56395067675041,99.81628774130881,150092.92727232675
2020-01-02,98.93940911799292,100.16982155924518,98.60436542834768,98.69309494902238,935730.4142536492
2020-01-03,101.70941839042149,101.87531163878083,100.74192244610752,101.57984365870671,426187.48248227075
2020-01-04,104.13869147695443,104.19705269605521,102.89512735042898,103.36831512028105,589001.3066031062
2020-01-05,103.54137440727987,105.08889483333375,102.89120749885826,104.28848883811213,782694.0807991769
2020-01-06,102.54995692919114,102.7289649571235,101.46440033613743,102.54512164535467,612774.8393689492
2020-01-07,102.8189995339077,103.96726394524977,102.61323333595129,102.76109580471272,817240.0705345627
2020-01-08,101.09679993516608,102.88409968647372,100.71111576184153,101.49123768270363,941253.5901854017
2020-01-09,100.88750227926495,102.63128061130267,100.37080817787312,101.06824466546928,899143.6002813578
2020-01-10,100.29497205095073,100.85976277386102,98.90251944620056,100.25002692977192,955814.7436670883
2020-01-11,100.09033139156026,101.0346748278964,98.31263721891081,99.20663515205055,279344.76548962045
2020-01-12,98.45514754302722,100.47493793391232,98.17886897897093,99.80197340409129,730932.221404329
2020-01-13,100.39245235776379,101.54658615084053,99.75146188519523,100.03269983890863,907762.1752789317
2020-01-14,100.47476165148228,100.7592019579516,100.07111808345697,100.141342911296,318478.7091488753
2020-01-15,97.36551281340176,98.50634095530809,96.86484279919182,98.00923395801019,172419.67497075378
2020-01-16,95.94541386154687,97.7176922480142,95.73465750546264,96.6703590752062,457139.8032586165
2020-01-17,96.97233427173337,97.25720887914719,95.63500366258599,96.892380056519,131592.97555968777
2020-01-18,95.84963737353571,96.44862341315383,94.83022389549639,95.10362651952053,576566.5398259349
2020-01-19,96.68521086055583,96.87584519941166,93.68624015521878,95.0686136039671,819924.6566022101
2020-01-20,95.43829492681031,96.21123432548659,92.99324553253226,94.5616820611847,660401.2620783098
2020-01-21,94.22285330155901,95.68731068677232,93.97846788384454,95.38882360517181,191887.7374612828
2020-01-22,94.97637478239388,95.31388942713272,93.32250487772588,94.0487421548674,193706.3591791465
2020-01-23,91.93603699646565,93.53235524648771,91.71489712391997,93.32201833147997,373526.5253325359
2020-01-24,95.1243652298275,95.45104773530853,94.18230882832958,95.03804583545782,531277.6056324276
2020-01-25,94.7096999312808,95.50665787036414,94.44162519096075,95.50605223761387,963051.4915771626
2020-01-26,94.02469410314806,94.57582889718311,93.98664299959195,94.03171872345422,286874.8259047874
2020-01-27,94.2542988493643,95.10517316168864,92.47369816106112,93.89337117416481,739293.1818439049
2020-01-28,91.78316889516466,92.28140180275899,91.77626495376809,92.11669990644937,827131.1293333174
2020-01-29,90.83737884083186,92.86404786280056,90.48553991128149,92.20560276265837,335895.71346023004
