timestamp,open,high,low,close,volume
2023-01-02,99.94,100.73,99.7,99.86,2650579
2023-01-03,99.11,99.42,97.93,98.81,1326388
2023-01-04,99.78,101.53,99.44,100.33,2349336
2023-01-05,100.22,101.94,99.88,101.94,381364
2023-01-06,99.16,100.1,97.59,97.59,111973
2023-01-09,98.43,100.28,97.49,97.49,1142062
2023-01-10,97.96,99.46,97.5,98.23,4058748
2023-01-11,96.8,98.03,96.3,98.03,3871132
2023-01-12,96.98,98.41,96.29,97.2,753513
2023-01-13,96.34,97.24,95.42,95.42,3795997
2023-01-16,95.39,96.5,94.99,96.5,4539440
2023-01-17,96.69,98.37,95.16,96.79,3016726
2023-01-18,96.36,98.25,96.2,96.2,526968
2023-01-19,95.16,96.47,93.65,94.72,4446088
2023-01-20,99.19,100.26,97.73,97.86,596337
2023-01-23,97.76,98.0,97.48,97.69,3042561
2023-01-24,97.7,98.16,96.7,97.41,703257
2023-01-25,97.01,99.28,96.12,99.28,4949917
2023-01-26,98.07,99.14,96.15,98.79,2295063
2023-01-27,97.66,97.92,95.87,97.04,3077843
2023-01-30,98.3,99.14,97.82,98.22,4481332
2023-01-31,96.95,97.09,95.13,95.13,3145015
2023-02-01,98.51,99.41,96.85,98.13,4952738
2023-02-02,98.2,98.64,98.08,98.14,4501785
2023-02-03,99.19,99.92,97.74,99.02,3582093
2023-02-06,98.5,100.47,97.78,99.4,4598885
2023-02-07,98.08,99.27,97.18,97.18,1911343
2023-02-08,99.46,101.0,98.77,100.25,4309041
2023-02-09,101.05,103.01,100.06,101.83,1120753
2023-02-10,98.61,99.78,96.93,97.29,3235708
2023-02-13,98.53,99.24,97.78,97.78,2343726
2023-02-14,98.8,100.63,98.45,100.63,2274865
2023-02-15,99.75,101.52,98.4,101.33,3269329
2023-02-16,98.29,98.39,97.28,97.28,833680
2023-02-17,97.99,98.83,96.55,98.01,1833109
2023-02-20,96.69,97.35,95.43,96.21,2075097
2023-02-21,96.68,97.73,95.72,96.36,598595
2023-02-22,95.95,97.44,94.12,97.02,1394587
2023-02-23,97.58,98.8,96.16,97.07,1380284
2023-02-24,98.32,100.3,96.73,97.09,1714745
2023-02-27,93.99,95.09,93.06,94.06,1481590
2023-02-28,97.89,99.3,95.91,99.3,2163803
2023-03-01,97.13,98.76,95.79,97.56,1364785
2023-03-02,95.6,96.1,93.67,95.3,4756143
2023-03-03,95.24,96.49,93.85,94.38,608791
2023-03-06,95.58,96.88,94.41,96.3,3577582
2023-03-07,94.44,95.54,94.03,94.63,2213022
2023-03-08,95.49,96.7,95.03,95.03,4924131
2023-03-09,93.61,93.89,92.09,92.09,4339158
2023-03-10,94.61,96.6,93.46,95.42,1194460
2023-03-13,96.78,97.48,94.92,96.04,2186954
2023-03-14,96.46,97.96,95.69,95.69,4793748
2023-03-15,96.55,96.91,94.67,96.08,2853028
2023-03-16,99.43,100.72,98.05,98.9,3012168
2023-03-17,98.07,99.66,96.96,96.96,649854
